,state,year,month,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,state_abbr,fips_state,state_name,state_proper
259,Indiana,2021,1,56.01999999999999,55.501290322580665,58.07354838709673,37.5,IN,18,INDIANA,Indiana
260,Indiana,2021,2,56.01999999999999,57.66000000000002,60.53999999999998,37.5,IN,18,INDIANA,Indiana
261,Indiana,2021,3,54.04709677419355,57.137096774193516,59.946129032258085,37.5,IN,18,INDIANA,Indiana
262,Indiana,2021,4,47.346666666666664,55.27933333333336,57.8176666666667,37.5,IN,18,INDIANA,Indiana
263,Indiana,2021,5,43.05999999999997,52.33161290322579,54.457096774193566,37.5,IN,18,INDIANA,Indiana
264,Indiana,2021,6,37.5,48.96000000000002,50.59999999999999,37.5,IN,18,INDIANA,Indiana
265,Indiana,2021,7,36.40263157894738,49.57578947368421,51.30263157894738,37.5,IN,18,INDIANA,Indiana
266,Iowa,2020,1,0.0,1.9493548387096777,2.1112903225806456,0.8064516129032258,IA,19,IOWA,Iowa
267,Iowa,2020,2,0.0,5.209999999999999,5.949999999999998,0.0,IA,19,IOWA,Iowa
268,Iowa,2020,3,37.81451612903224,31.099354838709683,32.028387096774196,24.596774193548388,IA,19,IOWA,Iowa
269,Iowa,2020,4,71.51,63.68166666666668,60.27833333333336,87.5,IA,19,IOWA,Iowa
270,Iowa,2020,5,72.22,67.60903225806453,64.88000000000005,86.69354838709677,IA,19,IOWA,Iowa
271,Iowa,2020,6,51.35666666666667,55.97266666666668,51.47266666666665,87.5,IA,19,IOWA,Iowa
272,Iowa,2020,7,50.0,56.24161290322579,51.77709677419355,87.5,IA,19,IOWA,Iowa
273,Iowa,2020,8,49.01387096774193,56.39064516129029,51.947096774193554,87.5,IA,19,IOWA,Iowa
274,Iowa,2020,9,45.80166666666664,52.062666666666665,47.00766666666668,87.5,IA,19,IOWA,Iowa
275,Iowa,2020,10,43.75870967741934,50.91419354838708,45.69354838709676,87.5,IA,19,IOWA,Iowa
