,year,month,state,covid_19_deaths,state_abbr,fips_state,state_name,state_proper
228,2020,1,Maine,0,ME,23,MAINE,Maine
229,2021,1,Maine,245,ME,23,MAINE,Maine
230,2020,2,Maine,0,ME,23,MAINE,Maine
231,2021,2,Maine,93,ME,23,MAINE,Maine
232,2020,3,Maine,0,ME,23,MAINE,Maine
233,2021,3,Maine,39,ME,23,MAINE,Maine
234,2020,4,Maine,51,ME,23,MAINE,Maine
235,2021,4,Maine,56,ME,23,MAINE,Maine
236,2020,5,Maine,43,ME,23,MAINE,Maine
237,2021,5,Maine,59,ME,23,MAINE,Maine
238,2020,6,Maine,14,ME,23,MAINE,Maine
239,2021,6,Maine,31,ME,23,MAINE,Maine
240,2020,1,Maryland,0,MD,24,MARYLAND,Maryland
241,2021,1,Maryland,1418,MD,24,MARYLAND,Maryland
242,2020,2,Maryland,0,MD,24,MARYLAND,Maryland
243,2021,2,Maryland,835,MD,24,MARYLAND,Maryland
244,2020,3,Maryland,48,MD,24,MARYLAND,Maryland
245,2021,3,Maryland,486,MD,24,MARYLAND,Maryland
246,2020,4,Maryland,1280,MD,24,MARYLAND,Maryland
247,2021,4,Maryland,530,MD,24,MARYLAND,Maryland
248,2020,5,Maryland,1542,MD,24,MARYLAND,Maryland
249,2021,5,Maryland,329,MD,24,MARYLAND,Maryland
250,2020,6,Maryland,675,MD,24,MARYLAND,Maryland
251,2021,6,Maryland,110,MD,24,MARYLAND,Maryland
252,2020,1,Massachusetts,0,MA,25,MASSACHUSETTS,Massachusetts
253,2021,1,Massachusetts,1708,MA,25,MASSACHUSETTS,Massachusetts
254,2020,2,Massachusetts,0,MA,25,MASSACHUSETTS,Massachusetts
255,2021,2,Massachusetts,804,MA,25,MASSACHUSETTS,Massachusetts
256,2020,3,Massachusetts,126,MA,25,MASSACHUSETTS,Massachusetts
257,2021,3,Massachusetts,405,MA,25,MASSACHUSETTS,Massachusetts
258,2020,4,Massachusetts,3933,MA,25,MASSACHUSETTS,Massachusetts
259,2021,4,Massachusetts,262,MA,25,MASSACHUSETTS,Massachusetts
260,2020,5,Massachusetts,3042,MA,25,MASSACHUSETTS,Massachusetts
261,2021,5,Massachusetts,193,MA,25,MASSACHUSETTS,Massachusetts
262,2020,6,Massachusetts,636,MA,25,MASSACHUSETTS,Massachusetts
263,2021,6,Massachusetts,80,MA,25,MASSACHUSETTS,Massachusetts
264,2020,1,Michigan,0,MI,26,MICHIGAN,Michigan
265,2021,1,Michigan,1727,MI,26,MICHIGAN,Michigan
266,2020,2,Michigan,0,MI,26,MICHIGAN,Michigan
267,2021,2,Michigan,675,MI,26,MICHIGAN,Michigan
268,2020,3,Michigan,500,MI,26,MICHIGAN,Michigan
269,2021,3,Michigan,574,MI,26,MICHIGAN,Michigan
270,2020,4,Michigan,3629,MI,26,MICHIGAN,Michigan
271,2021,4,Michigan,1711,MI,26,MICHIGAN,Michigan
272,2020,5,Michigan,1295,MI,26,MICHIGAN,Michigan
273,2021,5,Michigan,1289,MI,26,MICHIGAN,Michigan
274,2020,6,Michigan,299,MI,26,MICHIGAN,Michigan
275,2021,6,Michigan,328,MI,26,MICHIGAN,Michigan
276,2020,1,Minnesota,0,MN,27,MINNESOTA,Minnesota
277,2021,1,Minnesota,807,MN,27,MINNESOTA,Minnesota
278,2020,2,Minnesota,0,MN,27,MINNESOTA,Minnesota
279,2021,2,Minnesota,300,MN,27,MINNESOTA,Minnesota
280,2020,3,Minnesota,21,MN,27,MINNESOTA,Minnesota
281,2021,3,Minnesota,206,MN,27,MINNESOTA,Minnesota
282,2020,4,Minnesota,396,MN,27,MINNESOTA,Minnesota
283,2021,4,Minnesota,281,MN,27,MINNESOTA,Minnesota
284,2020,5,Minnesota,705,MN,27,MINNESOTA,Minnesota
285,2021,5,Minnesota,231,MN,27,MINNESOTA,Minnesota
286,2020,6,Minnesota,370,MN,27,MINNESOTA,Minnesota
287,2021,6,Minnesota,105,MN,27,MINNESOTA,Minnesota
288,2020,1,Mississippi,0,MS,28,MISSISSIPPI,Mississippi
289,2021,1,Mississippi,1321,MS,28,MISSISSIPPI,Mississippi
290,2020,2,Mississippi,0,MS,28,MISSISSIPPI,Mississippi
291,2021,2,Mississippi,576,MS,28,MISSISSIPPI,Mississippi
292,2020,3,Mississippi,33,MS,28,MISSISSIPPI,Mississippi
293,2021,3,Mississippi,272,MS,28,MISSISSIPPI,Mississippi
294,2020,4,Mississippi,301,MS,28,MISSISSIPPI,Mississippi
295,2021,4,Mississippi,165,MS,28,MISSISSIPPI,Mississippi
296,2020,5,Mississippi,457,MS,28,MISSISSIPPI,Mississippi
297,2021,5,Mississippi,158,MS,28,MISSISSIPPI,Mississippi
298,2020,6,Mississippi,321,MS,28,MISSISSIPPI,Mississippi
299,2021,6,Mississippi,90,MS,28,MISSISSIPPI,Mississippi
300,2020,1,Missouri,0,MO,29,MISSOURI,Missouri
301,2021,1,Missouri,1706,MO,29,MISSOURI,Missouri
302,2020,2,Missouri,0,MO,29,MISSOURI,Missouri
303,2021,2,Missouri,614,MO,29,MISSOURI,Missouri
304,2020,3,Missouri,32,MO,29,MISSOURI,Missouri
305,2021,3,Missouri,314,MO,29,MISSOURI,Missouri
306,2020,4,Missouri,460,MO,29,MISSOURI,Missouri
307,2021,4,Missouri,210,MO,29,MISSOURI,Missouri
308,2020,5,Missouri,405,MO,29,MISSOURI,Missouri
309,2021,5,Missouri,197,MO,29,MISSOURI,Missouri
310,2020,6,Missouri,196,MO,29,MISSOURI,Missouri
311,2021,6,Missouri,235,MO,29,MISSOURI,Missouri
312,2020,1,Montana,0,MT,30,MONTANA,Montana
