PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AL,12220,"Auburn-Opelika, AL",33-0000,major,910,1220,1180,1200,1000,980,950,660,**,760,720,680,720,870,990,980
AL,12220,"Auburn-Opelika, AL",35-0000,major,5070,5120,5150,5190,4960,5040,4970,5370,5560,5770,6070,7040,7010,7290,7790,7060
AL,12220,"Auburn-Opelika, AL",37-0000,major,1780,1970,2060,1960,1740,1640,2040,2020,2010,1930,1930,1780,1840,1980,2110,2240
AL,12220,"Auburn-Opelika, AL",39-0000,major,1400,1180,1270,1080,1020,1040,1220,1460,1560,1460,1500,1720,1940,1990,1330,1330
AL,12220,"Auburn-Opelika, AL",41-0000,major,4650,5560,5800,6440,6020,6060,6240,5620,5930,5690,6270,6330,6520,6320,6050,5850
AL,12220,"Auburn-Opelika, AL",43-0000,major,6540,6640,7010,7330,6970,7220,7380,8150,7420,7370,7110,6920,7950,7800,7370,6780
AL,12220,"Auburn-Opelika, AL",45-0000,major,,,90,110,160,150,150,140,170,160,,,110,160,230,250
AL,12220,"Auburn-Opelika, AL",47-0000,major,2240,2200,2500,2300,2110,1660,1480,1250,1430,1400,1510,1500,1680,1680,1910,2010
AL,12220,"Auburn-Opelika, AL",49-0000,major,1960,1880,1850,1830,1720,1610,1780,1670,1810,1900,1850,1940,2030,2370,2490,2480
AL,12220,"Auburn-Opelika, AL",51-0000,major,5370,5960,5070,5470,4590,4560,4170,4620,6170,6560,7120,6630,7060,6520,6000,5070
AL,12220,"Auburn-Opelika, AL",53-0000,major,3610,3660,3360,3120,3140,2780,2750,3140,3350,3650,3260,3900,3690,4400,5240,5860
AL,13820,"Birmingham-Hoover, AL",11-0000,major,24340,24080,24930,25120,23240,21130,20080,20530,20450,20680,21040,21770,21650,22980,26620,27270
AL,13820,"Birmingham-Hoover, AL",13-0000,major,19190,20020,20690,20240,19090,19140,18750,19590,19800,21790,22140,24060,23660,24050,26030,26930
AL,13820,"Birmingham-Hoover, AL",15-0000,major,10100,10460,9990,10110,10140,10430,10310,11430,13280,12910,12930,12050,12130,12240,13040,12960
