,state_code,area_code,prepandemic_growth,leisure_by_emp,total_emp_feb2020,manufacturing_emp_feb2020,service_emp_feb2020,total_emp_jun2021,manufacturing_emp_jun2021,service_emp_jun2021,total_employment,manufacturing,service,emp_tot_change_feb2020_jun2021,manufacturing_change_feb2020_jun2021,service_change_feb2020_jun2021
140,18,29200,0.041136141038197876,0.09369776476419929,107.3,23.3,84.0,94.2,22.7,71.5,106.3,23.6,82.7,-0.1220876048462255,-0.025751072961373467,-0.14880952380952384
141,18,33140,-0.004807692307692376,0.12801025013831863,40.5,9.7,30.8,38.9,9.5,29.4,41.4,10.1,31.3,-0.03950617283950619,-0.020618556701030855,-0.045454545454545525
142,18,34620,-0.01757812500000011,0.10322611208489266,50.7,5.8,44.9,45.3,5.1,40.2,50.3,5.8,44.5,-0.10650887573964507,-0.12068965517241381,-0.1046770601336302
143,18,43780,0.046395431834404,0.09750889081324669,145.1,22.8,122.3,131.5,20.9,110.6,146.6,23.3,123.4,-0.09372846312887662,-0.08333333333333337,-0.09566639411283728
144,18,45460,-0.01457725947521866,0.10912600042495928,66.9,13.7,53.2,62.7,12.9,49.8,67.6,13.7,53.9,-0.06278026905829603,-0.058394160583941535,-0.06390977443609036
145,19,11180,0.007604562737642559,,54.3,6.9,47.4,45.9,7.1,38.8,53.0,7.2,45.8,-0.15469613259668502,0.02898550724637672,-0.18143459915611815
146,19,16300,0.017409470752089137,0.08200617026598847,143.8,27.2,116.6,133.8,27.5,106.3,146.1,28.5,117.6,-0.06954102920723226,0.011029411764705843,-0.08833619210977695
147,19,19780,0.07038626609442067,0.09429922500985162,366.1,38.6,327.5,348.6,41.2,307.4,374.1,41.7,332.4,-0.04780114722753348,0.06735751295336789,-0.06137404580152683
148,19,20220,0.013355592654424112,,59.8,11.8,48.0,56.8,12.4,44.4,60.7,12.5,48.2,-0.050167224080267525,0.05084745762711851,-0.07500000000000007
149,19,26980,0.02634245187436671,0.0974704163273128,100.5,8.8,91.7,93.5,9.3,84.2,101.3,9.4,91.9,-0.06965174129353235,0.05681818181818188,-0.08178844056706647
150,19,43580,0.0022650056625141885,0.09285168821251301,87.2,21.3,65.9,82.7,21.3,61.4,88.5,22.2,66.3,-0.05160550458715596,0.0,-0.06828528072837647
151,19,47940,-0.0010989010989010365,0.08529677693862354,90.6,19.8,70.8,83.4,19.5,63.9,90.9,20.3,70.6,-0.07947019867549654,-0.015151515151515138,-0.09745762711864403
152,20,29940,0.013358778625954254,0.1289849425893246,54.2,6.3,47.9,44.0,6.3,37.7,53.1,6.5,46.6,-0.1881918819188192,0.0,-0.21294363256784965
