,NAME,state,county,total_pop,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate
830,"Dutchess County, New York",36,27,294218,37960,207907,31093,6507,10751,53399.0,3.1,5.8,26.8,18.4,10.9,35.0
831,"Duval County, Florida",12,31,957755,100736,498343,283907,27435,47334,138594.0,3.0,7.2,27.8,21.9,10.0,30.0
832,"Duval County, Texas",48,131,11157,9967,977,114,52,47,2031.0,15.2,16.3,30.7,22.3,6.6,9.0
833,"Dyer County, Tennessee",47,45,37159,1331,29557,5292,716,263,6670.0,6.4,9.7,38.8,20.8,8.1,16.1
834,"Eagle County, Colorado",8,37,55127,16381,36923,521,630,672,6836.0,6.5,5.3,15.2,16.4,9.5,47.2
835,"Early County, Georgia",13,99,10190,232,4503,5233,143,79,1965.0,5.8,13.8,37.1,20.0,8.2,15.1
836,"East Baton Rouge Parish, Louisiana",22,33,440059,19380,193710,205346,6828,14795,64429.0,2.9,6.6,27.3,22.7,5.6,34.9
837,"East Carroll Parish, Louisiana",22,35,6861,187,1885,4672,82,35,1047.0,6.9,22.6,40.5,17.7,3.5,8.9
838,"East Feliciana Parish, Louisiana",22,37,19135,343,10324,8082,330,56,3513.0,4.5,15.5,43.5,18.3,5.5,12.7
839,"Eastland County, Texas",48,133,18360,3121,14401,336,358,144,4054.0,5.6,10.0,31.6,26.9,9.9,16.0
840,"Eaton County, Michigan",26,45,110268,6247,90805,7505,2972,2739,21034.0,1.8,3.9,27.7,27.5,11.4,27.8
841,"Eau Claire County, Wisconsin",55,35,104646,2781,93725,1158,2364,4618,16958.0,2.6,3.3,25.0,21.3,15.5,32.3
842,"Echols County, Georgia",13,101,4006,1194,2444,214,128,26,553.0,,,,,,
843,"Ector County, Texas",48,135,166223,103988,50570,7361,2213,2091,15970.0,9.5,14.6,30.3,23.2,7.0,15.4
844,"Eddy County, New Mexico",35,15,58460,29548,26456,775,1223,458,8535.0,5.4,10.1,36.6,22.6,9.0,16.2
845,"Eddy County, North Dakota",38,27,2287,99,2035,11,132,10,541.0,,,,,,
846,"Edgar County, Illinois",17,45,17161,231,16571,99,195,65,3867.0,3.8,6.2,37.3,23.1,12.4,17.2
847,"Edgecombe County, North Carolina",37,65,51472,2553,18549,29463,723,184,10509.0,6.9,11.9,37.5,21.1,9.0,13.6
