,area_code,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,prepandemic_growth,leisure_by_emp,total_emp_feb2020,manufacturing_emp_feb2020,service_emp_feb2020,total_emp_jun2021,manufacturing_emp_jun2021,service_emp_jun2021,total_employment,manufacturing,service,emp_tot_change_feb2020_jun2021,manufacturing_change_feb2020_jun2021,service_change_feb2020_jun2021,occ_15,total_pop,pop_excl,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate,CBSA Title,division,region,state,pop_by_metro
162,15680.0,5.59,73.46000000000001,14.44,3.5700000000000003,2.94,13.387366751828033,0.03973509933774844,,47.0,2.5,44.5,46.2,2.7,43.5,47.1,2.6,44.5,-0.017021276595744594,0.08000000000000007,-0.022471910112359605,0.1267515923566879,113510,113510,3.3000000000000003,6.9,30.3,18.8,8.799999999999999,31.900000000000002,"California-Lexington Park, MD",South Atlantic Division,South Region,24,113510
163,15940.0,2.16,86.86,7.35,2.7,0.9400000000000001,20.047041658281344,0.00639163277164436,0.10966914557733991,170.9,35.1,135.8,159.8,33.3,126.5,173.2,35.6,137.6,-0.06495026331187825,-0.05128205128205143,-0.06848306332842424,0.013048498845265589,397520,397520,2.18,6.2700000000000005,38.98,21.61,8.62,22.16,"Canton-Massillon, OH",East North Central Division,Midwest Region,39,397520
165,15980.0,22.52,66.18,8.09,1.5,1.71,29.151142585361363,0.12941176470588225,0.15309047544045185,281.0,38.6,242.4,258.7,39.6,219.1,278.4,39.1,239.3,-0.0793594306049823,0.02590673575129543,-0.09612211221122113,0.013936781609195403,770577,770577,5.0,6.6000000000000005,31.0,20.3,8.9,28.199999999999996,"Cape Coral-Fort Myers, FL",South Atlantic Division,South Region,12,770577
166,16020.0,2.39,88.03,5.84,2.19,1.54,17.93020346591118,0.024943310657596404,,45.0,6.099999999999999,38.9,42.70000000000001,6.2,36.5,45.20000000000001,6.2,38.9,-0.051111111111110996,0.016393442622950838,-0.06169665809768632,0.011504424778761062,108716,108716,3.36,6.77,34.01,21.72,6.239999999999999,27.900000000000002,"Cape Girardeau, MO-IL",West North Central Division,Midwest Region,29,96765
169,16060.0,3.61,82.24000000000001,9.24,2.54,2.36,17.999627068351888,0.012173913043478311,,58.1,6.6,51.5,52.8,6.7,46.1,58.2,6.9,51.3,-0.09122203098106718,0.015151515151515138,-0.10485436893203881,0.010481099656357388,123347,123347,2.8400000000000003,5.050000000000001,27.88,25.46,9.959999999999999,28.810000000000002,"Carbondale-Marion, IL",East North Central Division,Midwest Region,17,135764
171,16180.0,24.84,66.39,2.0,4.21,2.5700000000000003,20.697117104227768,0.08865248226950355,0.11686062900173147,30.2,4.0,26.2,29.4,4.0,25.4,30.7,4.2,26.5,-0.026490066225165587,0.0,-0.03053435114503822,0.028990228013029317,55916,55916,4.3999999999999995,8.6,26.0,28.799999999999997,10.0,22.2,"Carson City, NV",Mountain Division,West Region,32,55916
172,16220.0,8.73,86.3,1.25,2.88,0.8500000000000001,15.924516015928273,-0.06382978723404245,0.11643940087245659,38.9,7.3,31.6,35.8,5.8,30.0,39.6,7.5,32.1,-0.07969151670951158,-0.20547945205479456,-0.05063291139240511,0.008585858585858586,79858,79858,1.4000000000000001,6.1,30.3,27.200000000000003,12.1,22.8,"Casper, WY",Mountain Division,West Region,56,79858
173,16300.0,3.1300000000000003,86.87,5.2,2.48,2.32,16.889229101350757,0.017409470752089137,0.08200617026598847,143.8,27.2,116.59999999999998,133.8,27.5,106.3,146.1,28.5,117.59999999999998,-0.06954102920723226,0.011029411764705843,-0.08833619210977695,0.04791238877481177,273032,273032,1.73,3.9699999999999998,28.88,21.52,12.85,31.04,"Cedar Rapids, IA",West North Central Division,Midwest Region,19,273032
176,16540.0,6.1,87.46000000000001,3.45,1.96,1.03,20.105530004450838,0.03333333333333333,0.08543489449305199,61.8,11.4,50.4,56.3,11.0,45.3,62.0,11.7,50.3,-0.0889967637540453,-0.03508771929824561,-0.10119047619047628,0.015161290322580645,155027,155027,3.5999999999999996,8.200000000000001,43.1,15.0,8.5,21.6,"Chambersburg-Waynesboro, PA",Middle Atlantic Division,Northeast Region,42,155027
177,16580.0,5.79,70.02000000000001,11.86,2.7199999999999998,9.610000000000001,14.04344878950936,0.03130590339892666,0.09981753557001678,116.40000000000002,11.1,105.3,104.59999999999998,11.300000000000002,93.3,115.3,11.6,103.7,-0.10137457044673548,0.018018018018018056,-0.11396011396011396,0.029835212489158717,238994,238994,1.5699999999999998,3.7600000000000002,23.549999999999997,19.78,8.66,42.6,"Champaign-Urbana, IL",East North Central Division,Midwest Region,17,226033
180,16620.0,1.11,89.11,6.5,2.34,0.9299999999999999,21.158734964366207,-0.05867126833477145,0.08800294751899092,108.09999999999998,10.1,98.0,101.59999999999998,8.7,92.90000000000002,109.09999999999998,10.3,98.8,-0.0601295097132285,-0.13861386138613863,-0.05204081632653057,0.027864344637946837,208089,208089,3.93,8.77,39.0,18.5,6.6000000000000005,23.200000000000003,"Charleston, WV",South Atlantic Division,South Region,54,257074
183,16700.0,5.87,64.39,25.169999999999998,2.42,2.16,15.676667639087322,0.12552301255230125,0.12993758471243785,370.1000000000001,51.6,318.5,345.3,48.79999999999999,296.5,376.6000000000001,51.9,324.8,-0.06700891650905161,-0.054263565891472965,-0.06907378335949765,0.030005310674455655,802122,802122,2.91,6.45,25.540000000000003,20.28,9.629999999999999,35.19,"Charleston-North Charleston, SC",South Atlantic Division,South Region,45,802122
186,16740.0,11.09,60.629999999999995,21.87,2.1999999999999997,4.22,14.080700837262427,0.11459177243676291,0.11104238235797828,1221.1000000000001,177.29999999999998,1043.7999999999997,1161.6000000000001,169.90000000000003,991.7,1238.2000000000003,179.29999999999998,1058.8999999999999,-0.04872655802145609,-0.04173716864072197,-0.04991377658555274,0.04076078178000324,2482973,2482973,4.58,7.03,23.64,21.26,9.17,34.38,"Charlotte-Concord-Gastonia, NC-SC",South Atlantic Division,South Region,37,2636883
196,16820.0,5.24,74.42999999999999,13.43,2.58,4.33,18.554650220772555,0.08370436331255571,0.11244252903119627,119.60000000000001,9.6,110.0,107.3,9.6,97.7,121.7,9.9,111.8,-0.10284280936454848,0.0,-0.11181818181818182,0.033853738701725554,235763,235763,3.81,6.1899999999999995,21.17,17.57,5.48,45.75,"Charlottesville, VA",South Atlantic Division,South Region,51,218615
202,16860.0,5.38,73.0,17.91,1.8599999999999999,1.8499999999999999,18.600172207751083,0.08916938110749188,0.10824124185760117,265.3,45.1,220.2,251.2,43.7,207.5,267.5,45.6,221.9,-0.05314738032416144,-0.03104212860310418,-0.057674841053587556,0.017345794392523366,461071,461071,3.93,7.84,28.860000000000003,21.63,8.55,29.189999999999998,"Chattanooga, TN-GA",East South Central Division,South Region,47,565194
208,16940.0,14.92,78.55,2.22,2.98,1.32,16.47236180904523,0.01059322033898305,0.10179534126741939,47.0,5.2,41.8,45.8,5.1,40.7,47.7,5.5,42.2,-0.025531914893617058,-0.019230769230769384,-0.02631578947368407,0.022431865828092243,99500,99500,1.7999999999999998,5.2,25.8,26.1,12.6,28.499999999999996,"Cheyenne, WY",Mountain Division,West Region,56,99500
209,16980.0,23.31,52.580000000000005,15.22,1.67,7.22,14.92494659357606,0.03634423587822843,0.09730441651513146,4656.800000000001,581.1999999999999,4075.599999999999,4258.400000000001,571.3000000000001,3687.099999999999,4759.099999999999,602.3999999999999,4156.599999999999,-0.08555231059955348,-0.017033723331039363,-0.0953233879674158,0.03162782879115799,9493240,9493240,5.75,5.67,23.06,19.49,7.21,38.73,"Chicago-Naperville-Elgin, IL-IN-WI",East North Central Division,Midwest Region,17,9458539
